epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,23519.1,1.81922,0.98472,0.79395,0.82842,0.82994,0.81045,0.32153,1.95596,1.00254,0.80213,0.0008714,0.0008714,0.0008714
59,23915.2,1.81638,0.98428,0.79287,0.8212,0.80628,0.80187,0.32133,1.92803,1.01641,0.80092,0.0008516,0.0008516,0.0008516
60,24304.3,1.78033,0.97595,0.79461,0.8101,0.84097,0.80619,0.31678,1.9246,1.01513,0.79864,0.0008318,0.0008318,0.0008318
61,24681.9,1.78904,0.96811,0.7922,0.81208,0.83288,0.80673,0.32512,1.89437,0.9914,0.79658,0.000812,0.000812,0.000812
62,25066.1,1.82856,0.976,0.79537,0.8284,0.82982,0.82377,0.32466,1.90725,1.00048,0.79762,0.0007922,0.0007922,0.0007922
63,25465.2,1.81536,0.96856,0.79837,0.8253,0.83463,0.81849,0.32127,1.89581,0.99476,0.79647,0.0007724,0.0007724,0.0007724
64,25860,1.80931,0.9773,0.7974,0.80982,0.83942,0.80321,0.31744,1.93817,0.99449,0.79863,0.0007526,0.0007526,0.0007526
65,26259.8,1.7792,0.9815,0.79499,0.83053,0.82265,0.81083,0.32669,1.94089,0.997,0.79868,0.0007328,0.0007328,0.0007328
66,26655,1.78895,0.94174,0.79225,0.82601,0.83561,0.81114,0.32492,1.93417,0.9778,0.79664,0.000713,0.000713,0.000713
67,27042,1.7714,0.97494,0.79295,0.82301,0.8588,0.8149,0.32074,1.99169,1.00157,0.80087,0.0006932,0.0006932,0.0006932
68,27438.9,1.72984,0.95264,0.79783,0.82534,0.85198,0.81799,0.32461,1.96217,0.9776,0.80078,0.0006734,0.0006734,0.0006734
69,27831.3,1.73763,0.93352,0.79356,0.82954,0.83015,0.81606,0.33492,1.85638,0.96683,0.79438,0.0006536,0.0006536,0.0006536
70,28218.1,1.7464,0.9356,0.7938,0.83087,0.8322,0.81969,0.33451,1.86901,0.97991,0.7955,0.0006338,0.0006338,0.0006338
71,28599.8,1.72649,0.95778,0.79492,0.83156,0.81241,0.81082,0.33149,1.93289,0.98856,0.79954,0.000614,0.000614,0.000614
72,28966.9,1.76284,0.93377,0.79977,0.83368,0.84243,0.82621,0.32783,1.96664,0.96509,0.80087,0.0005942,0.0005942,0.0005942
73,29354.8,1.7564,0.91838,0.79727,0.83098,0.84844,0.82203,0.33012,1.93276,0.96838,0.79795,0.0005744,0.0005744,0.0005744
74,29745,1.70955,0.93115,0.79364,0.82607,0.8423,0.81799,0.34003,1.84551,0.97489,0.79245,0.0005546,0.0005546,0.0005546
75,30130.3,1.73556,0.94295,0.79532,0.82268,0.82333,0.8062,0.32836,1.85747,0.98105,0.79697,0.0005348,0.0005348,0.0005348
76,30523.2,1.72924,0.91533,0.79759,0.82945,0.85261,0.82206,0.33254,1.89782,0.96874,0.79955,0.000515,0.000515,0.000515
77,30899.6,1.69226,0.92645,0.79199,0.83323,0.84789,0.82439,0.33656,1.8817,0.9702,0.79666,0.0004952,0.0004952,0.0004952
78,31279,1.70329,0.91305,0.79167,0.83662,0.83561,0.82448,0.33681,1.88951,0.96887,0.7961,0.0004754,0.0004754,0.0004754
79,31659.8,1.70625,0.91135,0.79005,0.84033,0.82572,0.81976,0.34097,1.87671,0.97327,0.79478,0.0004556,0.0004556,0.0004556
80,32035.7,1.69178,0.90054,0.79443,0.82559,0.82337,0.8128,0.3398,1.8462,0.96783,0.79315,0.0004358,0.0004358,0.0004358
81,32413,1.67444,0.9097,0.7912,0.82203,0.84447,0.81823,0.33997,1.8486,0.96157,0.79439,0.000416,0.000416,0.000416
82,32774.5,1.6556,0.89167,0.7911,0.83181,0.8535,0.82169,0.345,1.83784,0.95329,0.7939,0.0003962,0.0003962,0.0003962
83,33145.6,1.6801,0.89529,0.78897,0.84506,0.85943,0.83373,0.34119,1.88284,0.9532,0.79683,0.0003764,0.0003764,0.0003764
84,33532.1,1.66701,0.87471,0.78994,0.83813,0.85198,0.82403,0.33815,1.90665,0.95621,0.79741,0.0003566,0.0003566,0.0003566
85,33909.9,1.67375,0.89002,0.79265,0.8429,0.85812,0.83233,0.34647,1.8722,0.95113,0.79611,0.0003368,0.0003368,0.0003368
86,34292.8,1.64992,0.88707,0.79007,0.84615,0.85402,0.83199,0.35073,1.80699,0.93955,0.793,0.000317,0.000317,0.000317
87,34674.1,1.65262,0.86199,0.78833,0.84807,0.85294,0.83001,0.35059,1.79948,0.93942,0.79188,0.0002972,0.0002972,0.0002972
88,35049.6,1.66524,0.88653,0.78435,0.83673,0.85744,0.82892,0.35317,1.79028,0.94857,0.79005,0.0002774,0.0002774,0.0002774
89,35433.2,1.65737,0.88163,0.78807,0.83797,0.85016,0.82654,0.35408,1.77223,0.95042,0.78888,0.0002576,0.0002576,0.0002576
90,35814.3,1.63355,0.8648,0.78528,0.84759,0.85354,0.82841,0.3514,1.78476,0.95111,0.79002,0.0002378,0.0002378,0.0002378
91,36174.6,1.61424,0.84983,0.78784,0.8488,0.86158,0.83316,0.35204,1.84102,0.94486,0.79336,0.000218,0.000218,0.000218
92,36544,1.59129,0.85772,0.78829,0.84842,0.85402,0.82741,0.35293,1.8423,0.93989,0.79283,0.0001982,0.0001982,0.0001982
93,36901.7,1.60435,0.8572,0.78339,0.85723,0.84778,0.82864,0.35785,1.82941,0.9381,0.79063,0.0001784,0.0001784,0.0001784
94,37257.9,1.6064,0.85136,0.78405,0.85036,0.85266,0.83002,0.35876,1.79884,0.94471,0.78874,0.0001586,0.0001586,0.0001586
95,37613.5,1.61548,0.8386,0.78728,0.85152,0.85675,0.83459,0.36232,1.77701,0.93868,0.7881,0.0001388,0.0001388,0.0001388
96,37964.8,1.60909,0.83754,0.78225,0.8502,0.84786,0.83304,0.36294,1.769,0.9345,0.78862,0.000119,0.000119,0.000119
97,38322.3,1.60321,0.82948,0.78773,0.8472,0.85266,0.83207,0.3632,1.77831,0.92471,0.78973,9.92e-05,9.92e-05,9.92e-05
98,38682.6,1.58866,0.81747,0.78707,0.84639,0.8588,0.83395,0.36515,1.77667,0.91736,0.78982,7.94e-05,7.94e-05,7.94e-05
99,39049.7,1.57823,0.82902,0.78683,0.84672,0.86562,0.83633,0.36551,1.77484,0.91634,0.78998,5.96e-05,5.96e-05,5.96e-05
100,39409.9,1.5877,0.84529,0.78753,0.84726,0.86903,0.83655,0.36591,1.7739,0.91594,0.78985,3.98e-05,3.98e-05,3.98e-05
